birthday,gender,age,height,sport,noc,gold,silver,bronze
2002-08-29,1,21,1.75,Badminton,THA,0,0,1
1999-05-23,1,24,1.7,Badminton,THA,0,0,1
1996-08-01,1,27,1.65,Cricket,MAS,0,0,0
1998-08-22,1,25,1.68,Tennis,KAZ,0,0,0
2000-07-29,1,23,1.64,Cricket,MAS,0,0,0
1997-04-01,0,26,1.8,Esports,JPN,0,0,0
2004-09-29,1,19,1.67,Squash,MAS,1,0,0
2000-01-24,0,23,1.7,Cricket,NEP,0,0,0
2004-03-08,1,19,1.62,Karate,KGZ,0,0,0
2002-06-11,1,21,1.6,Weightlifting,INA,0,0,0
2001-10-05,0,22,1.96,Shooting,KAZ,0,0,0
2004-05-10,1,19,1.64,3x3 Basketball,MDV,0,0,0
2002-10-24,1,20,1.58,Cricket,MAS,0,0,0
1989-11-05,1,33,1.8,Handball,KAZ,0,0,0
1997-12-19,0,25,1.94,Basketball,KAZ,0,0,0
1999-01-06,1,24,1.6,Handball,JPN,1,0,0
2004-01-08,0,19,1.69,Ju-jitsu,PLE,0,0,0
1996-07-18,1,27,1.52,Weightlifting,JPN,0,0,0
2003-09-22,0,20,1.74,Dragon Boat,MAS,0,0,0
1998-08-28,1,25,1.84,Basketball,JPN,0,1,0
1998-08-28,0,25,1.96,Basketball,JPN,0,0,0
1995-05-02,0,28,1.84,Athletics,JPN,0,0,0
2000-06-17,0,23,1.68,Hockey,SGP,0,0,0
2000-04-26,1,23,1.57,Cricket,HKG,0,0,0
2000-12-02,1,22,1.63,Table Tennis,KAZ,0,0,0
1998-07-17,0,25,1.96,Volleyball,INA,0,0,0
2001-03-05,0,22,1.87,Beach Volleyball,INA,0,0,0
1988-06-25,1,35,1.75,Taekwondo,QAT,0,0,0
2002-08-29,0,21,1.7,Shooting,INA,0,0,2
1994-08-20,0,29,1.76,Athletics,PAK,0,0,0
2000-05-21,0,23,1.78,Cricket,AFG,0,1,0
1999-07-28,0,24,1.7,Karate,KGZ,0,0,0
1985-09-08,0,38,1.78,Ju-jitsu,IRI,0,0,0
1992-11-12,0,30,1.8,Cricket,PAK,0,0,0
2000-03-01,0,23,1.81,Athletics,TJK,0,0,0
2005-12-06,1,17,1.72,Water Polo,UZB,0,0,0
1990-02-04,0,33,1.72,Esports,TJK,0,0,0
2001-07-10,0,22,1.7,Handball,UZB,0,0,0
2004-10-31,0,18,1.72,Artistic Gymnastics,KAZ,0,0,0
1990-10-16,0,32,1.75,Esports,KAZ,0,0,0
1998-06-09,0,25,1.74,Water Polo,KAZ,0,0,1
2005-06-11,0,18,1.8,Swimming,UZB,0,0,0
2000-06-01,0,23,1.76,Canoe Sprint,UZB,0,0,0
1997-02-01,1,26,1.54,Kabaddi,BAN,0,0,0
2000-04-27,0,23,1.71,Athletics,PAK,0,0,0
2001-03-20,1,22,1.58,Football,BAN,0,0,0
1994-09-23,0,29,1.78,Boxing,JPN,0,0,0
1993-02-12,1,30,1.65,Weightlifting,INA,0,0,0
1994-08-28,0,29,1.87,Sepaktakraw,INA,0,0,0
2002-12-01,0,20,1.55,Cricket,PAK,0,0,0
2001-12-29,0,21,1.76,Esports,UZB,0,0,0
1998-08-12,1,25,1.6,Kabaddi,IND,1,0,0
1999-10-07,1,24,1.59,Weightlifting,BAN,0,0,0
2001-08-10,1,22,1.63,Archery,BAN,0,0,0
2001-08-13,1,22,1.65,Kabaddi,BAN,0,0,0
2002-01-01,1,21,1.65,Kabaddi,BAN,0,0,0
2005-01-01,1,18,1.55,Cricket,BAN,0,0,1
2000-11-02,1,22,1.65,Cricket,BAN,0,0,1
2002-05-10,1,21,1.57,Kabaddi,BAN,0,0,0
2007-01-01,1,16,1.69,Cricket,BAN,0,0,1
2002-01-18,1,21,1.57,Kabaddi,BAN,0,0,0
1997-04-20,1,26,1.52,Kabaddi,BAN,0,0,0
2000-12-20,1,22,1.58,Kabaddi,BAN,0,0,0
1994-12-07,1,28,1.58,Weightlifting,BAN,0,0,0
2005-05-04,1,18,1.65,Roller Skating,IND,0,0,0
1998-07-31,1,25,1.57,Table Tennis,IND,0,0,0
2003-08-11,0,20,1.78,Football,KGZ,0,0,0
1997-06-03,0,26,1.7,Athletics,OMA,0,0,0
1995-05-06,0,28,1.7,Athletics,KSA,0,0,0
1999-03-20,0,24,1.78,Swimming,OMA,0,0,0
1995-08-11,0,28,1.68,Hockey,INA,0,0,0
1992-05-06,0,31,1.73,Ju-jitsu,IRQ,0,0,0
1995-06-23,0,28,1.73,Hockey,INA,0,0,0
2003-01-18,0,20,1.75,Football,SYR,0,0,0
1992-02-03,0,31,1.6,Hockey,OMA,0,0,0
2002-02-09,0,21,1.74,Athletics,OMA,0,0,0
1998-12-10,0,24,1.64,Weightlifting,OMA,0,0,0
1993-03-04,0,30,2.1,Basketball,JOR,0,1,0
2000-01-08,0,23,1.7,Esports,QAT,0,0,0
2003-05-18,0,20,1.87,Athletics,OMA,0,0,1
2004-05-01,0,19,1.77,Football,SYR,0,0,0
1997-11-23,0,25,1.79,Hockey,OMA,0,0,0
1995-02-26,0,28,1.85,Athletics,OMA,0,0,0
1989-04-04,0,34,1.73,Sailing,OMA,0,1,0
2004-05-22,0,19,1.87,Football,SYR,0,0,0
1988-06-15,0,35,1.7,Athletics,OMA,0,0,0
2001-01-01,0,22,1.8,Football,SYR,0,0,0
1989-08-26,1,34,1.56,Shooting,OMA,0,0,0
1988-02-14,0,35,1.89,Beach Volleyball,OMA,0,0,0
1985-10-14,0,37,1.78,Hockey,OMA,0,0,0
1998-01-04,0,25,1.7,Athletics,KSA,0,0,1
1991-11-03,0,31,1.91,Beach Volleyball,OMA,0,0,0
2001-10-26,0,21,1.85,Football,KSA,0,0,0
1991-10-19,1,31,1.58,Shooting,OMA,0,0,0
1985-05-24,0,38,1.68,Shooting,OMA,0,0,0
1998-07-29,0,25,1.82,Swimming,OMA,0,0,0
1991-06-02,0,32,1.71,Hockey,OMA,0,0,0
1998-04-05,0,25,1.7,Hockey,OMA,0,0,0
1998-07-15,0,25,1.69,Esports,KSA,0,0,0
1988-05-13,0,35,1.77,Handball,KSA,0,0,0
1990-05-26,0,33,1.78,Hockey,OMA,0,0,0
2002-12-10,0,20,1.82,Football,KSA,0,0,0
1984-12-24,0,38,1.79,Shooting,OMA,0,0,0
2002-05-01,0,21,1.82,Football,SYR,0,0,0
1998-02-18,1,25,1.67,Archery,QAT,0,0,0
1995-03-22,0,28,1.8,Hockey,OMA,0,0,0
2008-08-21,0,15,1.68,Sailing,OMA,0,0,0
1997-06-02,0,26,1.92,Taekwondo,IRQ,0,0,1
2004-01-11,0,19,1.86,Football,SYR,0,0,0
1986-03-14,0,37,1.88,Beach Volleyball,OMA,0,0,0
2002-10-20,0,20,1.82,3x3 Basketball,JOR,0,0,0
2002-12-08,1,20,1.62,Ju-jitsu,UAE,0,0,0
1989-01-10,1,34,1.69,Shooting,OMA,0,0,0
1994-01-15,0,29,1.84,Athletics,OMA,0,0,0
1998-12-19,0,24,1.7,Karate,KSA,0,0,0
2008-03-16,1,15,1.55,Table Tennis,BRN,0,0,0
2005-07-06,1,18,1.7,Table Tennis,BRN,0,0,0
2000-11-25,0,22,1.79,Canoe Sprint,IRQ,0,0,0
1969-06-04,0,54,1.74,Archery,QAT,0,0,0
1994-06-15,0,29,1.7,Handball,KSA,0,0,0
1992-12-19,0,30,1.68,Handball,KSA,0,0,0
1988-06-18,0,35,1.7,Handball,KSA,0,0,0
1997-11-15,0,25,1.7,Esports,KSA,0,0,0
2002-09-20,0,21,1.75,Rowing,KUW,0,0,0
2002-10-05,0,21,1.82,Football,QAT,0,0,0
2002-09-24,0,21,1.84,Football,KSA,0,0,0
2000-10-26,0,22,1.87,Esports,JOR,0,0,0
1993-12-19,0,29,1.87,Volleyball,BRN,0,0,0
2000-12-15,1,22,1.54,Fencing,YEM,0,0,0
2003-04-09,0,20,1.87,Football,BRN,0,0,0
2003-07-22,0,20,1.85,Taekwondo,QAT,0,0,0
1991-09-26,0,32,1.9,Weightlifting,IRQ,0,0,0
1998-01-31,0,25,1.85,Esports,JOR,0,0,0
1995-05-02,0,28,1.76,Cycling Road,KUW,0,0,0
2002-02-18,0,21,1.76,Karate,KUW,1,0,0
1985-02-27,0,38,1.79,Esports,JOR,0,0,0
2001-02-13,1,22,1.6,Archery,UAE,0,0,0
2009-07-14,1,14,1.6,Chess,UAE,0,0,0
1997-05-18,0,26,1.73,Hockey,INA,0,0,0
2005-08-31,1,18,1.58,Shooting,BAN,0,0,0
1996-01-11,0,27,1.83,Karate,NEP,0,0,0
2002-05-02,0,21,1.7,Shooting,BAN,0,0,0
1982-12-08,0,40,1.56,Shooting,UAE,0,0,0
1991-11-18,0,31,1.83,Basketball,UAE,0,0,0
2001-09-29,1,22,1.67,Karate,UAE,0,0,0
2003-09-29,1,20,1.76,Ju-jitsu,UAE,0,0,1
1995-06-04,1,28,1.69,Ju-jitsu,JOR,0,0,0
1992-12-24,0,30,1.75,Table Tennis,IRI,0,0,2
1995-05-15,0,28,1.71,Shooting,BAN,0,0,0
1991-11-21,0,31,1.7,Table Tennis,IRI,0,0,2
1987-09-15,0,36,1.66,Shooting,KSA,0,0,0
2004-03-22,0,19,1.86,Fencing,KSA,0,0,0
1993-08-08,0,30,1.7,Athletics,KSA,0,0,0
1997-09-29,0,26,1.7,Athletics,KSA,0,0,0
1990-12-23,0,32,1.7,Athletics,KSA,0,0,0
1988-02-22,0,35,1.72,Shooting,KSA,0,0,0
1998-01-27,0,25,1.62,Archery,MAS,0,0,1
1992-12-22,0,30,1.76,Esports,KSA,0,0,0
2004-06-16,0,19,1.69,Esports,KSA,0,0,0
1998-09-02,0,25,1.76,Rowing,KSA,0,0,0
1996-11-26,0,26,1.7,Archery,KSA,0,0,0
2003-01-21,0,20,1.92,Beach Volleyball,PLE,0,0,0
1991-11-03,0,31,1.83,Basketball,PHI,1,0,0
1987-05-02,1,36,1.62,Shooting,BRN,0,0,0
1984-03-04,1,39,1.65,Shooting,QAT,0,0,0
1985-10-16,1,37,1.59,Cycling Road,KUW,0,0,0
1996-05-29,0,27,1.78,Archery,QAT,0,0,0
1989-08-18,0,34,1.7,Athletics,KSA,0,0,0
2002-03-23,0,21,1.69,Hockey,OMA,0,0,0
2002-08-11,0,21,1.68,Boxing,KSA,0,0,0
1973-10-29,0,49,1.7,Shooting,QAT,0,1,0
1980-08-18,0,43,1.8,Shooting,QAT,0,0,0
1987-10-18,0,35,1.72,Shooting,QAT,0,1,1
1970-12-21,0,52,1.77,Shooting,QAT,0,1,1
2004-01-01,1,19,1.62,Archery,UAE,0,0,0
2002-01-16,1,21,1.6,Archery,UAE,0,0,0
1991-03-21,0,32,1.88,Esports,UAE,0,0,0
1999-12-02,0,23,1.7,Archery,KSA,0,0,0
1987-12-30,0,35,1.7,Cycling Road,BRN,0,0,0
2002-01-07,0,21,1.65,Football,BRN,0,0,0
2004-08-12,0,19,1.76,Ju-jitsu,UAE,0,0,0
2003-02-25,0,20,1.67,Ju-jitsu,UAE,0,0,1
1995-10-07,0,28,1.74,Sailing,QAT,0,0,0
2001-07-26,0,22,1.83,Rowing,BRN,0,0,0
1983-10-24,0,39,1.78,Esports,UAE,0,0,0
1997-02-10,0,26,1.75,Esports,KSA,0,0,0
1997-09-06,0,26,1.66,Karate,KSA,0,0,0
1988-03-31,0,35,1.76,Sailing,UAE,0,0,0
2003-10-04,1,20,1.45,Sailing,UAE,0,0,0
1995-04-03,1,28,1.64,Shooting,QAT,0,0,0
2007-08-19,1,16,1.64,Fencing,UAE,0,0,0
2000-10-09,0,22,1.7,Ju-jitsu,UAE,0,1,0
1998-05-23,0,25,1.82,Fencing,UAE,0,0,0
2000-04-21,0,23,1.6,Rugby Sevens,OCA,0,0,0
1994-10-30,0,28,1.7,Basketball,UAE,0,0,0
2000-12-16,0,22,1.8,Basketball,UAE,0,0,0
1991-12-21,0,31,1.9,Basketball,UAE,0,0,0
2002-02-21,1,21,1.57,Fencing,UAE,0,0,0
1996-06-12,0,27,1.75,Taekwondo,PHI,0,0,0
1992-02-04,0,31,1.74,Tennis,PHI,0,0,1
2000-07-22,1,23,1.78,Football,PHI,0,0,0
2002-11-11,1,20,1.62,Triathlon,PHI,0,0,0
2001-08-12,0,22,1.77,Esports,KSA,0,0,0
1990-04-14,0,33,1.82,Archery,IRQ,0,0,0
1989-03-28,0,34,1.8,Shooting,KSA,0,0,0
1983-09-29,1,40,1.73,Archery,JOR,0,0,0
1996-10-02,0,27,1.78,Esports,JOR,0,0,0
2001-11-17,1,21,1.63,Shooting,QAT,0,0,0
2000-04-09,0,23,1.97,Beach Volleyball,KAZ,0,0,0
1999-03-18,0,24,1.78,Fencing,KSA,0,0,0
1999-10-19,0,23,1.81,Esports,UAE,0,0,0
1995-01-01,0,28,1.81,Table Tennis,YEM,0,0,0
2003-11-19,1,19,1.5,Karate,JOR,0,0,0
1984-07-26,0,39,1.74,Shooting,KSA,0,0,0
2002-03-22,0,21,1.7,Athletics,BRN,0,0,0
1997-09-04,0,26,1.72,Shooting,BRN,0,0,0
2008-04-13,0,15,1.67,Sailing,BRN,0,0,0
1993-10-28,1,29,1.55,Shooting,BRN,0,0,0
1992-10-17,1,30,1.6,Shooting,BRN,0,0,0
2000-03-20,0,23,1.83,Esports,KSA,0,0,0
2003-07-10,1,20,1.59,Karate,JOR,0,0,1
2001-12-10,0,21,1.84,Triathlon,KUW,0,0,0
1992-07-01,0,31,1.7,Athletics,KSA,0,0,0
1999-11-17,0,23,1.86,Rowing,IRQ,0,0,0
2000-04-25,0,23,1.79,Taekwondo,NEP,0,0,0
2014-03-04,1,9,1.32,Skateboarding,PHI,0,0,0
1986-01-01,0,37,1.67,Shooting,UAE,0,0,0
1997-02-19,0,26,1.82,Esports,JOR,0,0,0
1994-07-09,0,29,1.85,Rowing,KUW,0,0,0
2003-04-18,0,20,1.73,Fencing,KUW,0,0,0
2001-06-09,0,22,1.79,Esports,KSA,0,0,0
1986-06-24,0,37,1.76,Shooting,KUW,0,1,0
1991-09-03,1,32,1.67,Rowing,KUW,0,0,0
1998-05-22,0,25,1.69,Triathlon,QAT,0,0,0
1999-04-08,0,24,1.7,Athletics,KSA,0,0,0
2000-05-08,0,23,1.8,Hockey,OMA,0,0,0
1995-03-07,0,28,1.76,Badminton,INA,0,0,0
2002-09-07,1,21,1.56,Karate,PHI,0,0,1
1992-07-02,0,31,1.73,Athletics,QAT,1,0,0
1987-12-31,0,35,1.68,Triathlon,UAE,0,0,0
2001-09-20,0,22,1.77,Football,KSA,0,0,0
2001-08-13,0,22,1.84,Football,KSA,0,0,0
1993-12-12,0,29,1.72,Ju-jitsu,KSA,0,0,0
1997-02-07,0,26,1.86,Rowing,INA,0,0,1
2000-10-24,0,22,1.89,Basketball,BRN,0,0,0
2000-03-04,0,23,1.73,Sailing,OMA,0,0,0
2001-07-18,0,22,1.79,Football,QAT,0,0,0
2000-01-11,0,23,1.82,Taekwondo,JOR,0,0,1
1986-10-10,0,36,1.97,Basketball,JOR,0,1,0
1990-10-10,0,32,1.7,Handball,KSA,0,0,0
2004-03-26,1,19,1.57,Fencing,KSA,0,0,0
